Up to 1,1 to 3,3 to 12,Over 1,Column
month,months,months,year,Total
Kes ‘000,Kes ‘000,Kes ‘000,Kes ‘000,Kes ‘000
"105,656",-,-,-,"105,656"
-,"245,421",-,-,"245,421"
-,"128,264",-,-,"128,264"
-,"110,887",-,-,"110,887"
"105,656","484,572",-,-,"590,228"
"722,265",-,-,-,"722,265"
"404,330","36,520",-,-,"440,850"
"1,126,595","36,520",-,-,"1,163,115"
"(1,020,939)","448,052",-,-,"(572,887)"
