Column,2010,2009
Capital and reserves,Shs’ 000,Shs’ 000
Authorised Capital,"247,500","225,000"
Issued Capital,"247,500","225,000"
Paid-up Capital,"247,500","225,000"
Retained Earnings,"4,431,484","3,142,327"
