2018
KShs ‘000
"318,021"
"148,560"
"6,394,015"
"9,995,813"
"218,099"
"4,344,211"
"194,613"
"44,975,816"
"10,264,809"
"802,939"
"38,460"
"66,101"
"931,713"
"4,945,579"
"1,617,728"
"4,052,902"
"3,193,166"
"6,004,434"
"186,290"
"1,396,233"
"174,269"
"11,315,417"
"2,588,451"
"114,167,639"
"89,841"
"25,539,077"
"47,739,002"
"7,625,596"
"431,293"
"2,539,644"
"104,455"
"201,501"
"1,825,863"
"86,096,272"
"362,365"
"4,172,826"
"21,649,197"
"26,184,388"
"1,886,979"
"28,071,367"
"114,167,639"
