Kenya,Kenya,Uganda,Kenya,Mauritius,Column
27%,37%,25%,30%,33%,
"1,253,897","8,460,760","8,795,563","3,214,626","9,162,746","30,887,592"
"103,169","1,327,876","332,537","3,592,215","226,940","5,582,737"
-,"(2,159,546)",-,"(803,079)","(380,394)","(3,343,019)"
"(20,331)","(582,666)","(64,817)","(592,358)","(409,525)","(1,669,697)"
"1,336,735","7,046,424","9,063,283","5,411,404","8,599,767","31,457,613"
"485,683","651,619","2,317,606","9,488,422","403,179","13,346,509"
"485,353","468,631","2,348,309","997,135","340,528","4,639,956"
-,"169,439",-,-,-,"169,439"
"138,955","762,719","46,588","948,193","(8,191)","1,888,264"
"593,240","(670,995)","91,997","(92,468)","403,178","324,952"
"(697,128)","5,389","(1,701,478)","(725,000)","(821,429)","(3,939,646)"
"35,067","97,113","(1,562,893)","130,725","(426,442)","(1,726,430)"
