"Ordinary
Life",Annuity,Total
2020,2020,2020
Kes ‘000,Kes ‘000,Kes ‘000
"1,718,352","92,386","1,810,738"
"207,359","(175,009)","32,350"
"(43,779)","(21,430)","(65,209)"
"(20,630)","9,958","(10,672)"
"162,445","892,486","1,054,931"
"(853,035)","(223,949)","(1,076,984)"
"1,170,712","574,442","1,745,154"
