Column,2023,Column,Column,Column,Column
Category,Kenya,Uganda,Tanzania,Burundi,Total
Permanent,492,141,96,0,729
Contract,89,23,49,6,167
"Interns/Attache’/
Graduate Trainees",22,4,15,0,41
"Employees under
collective bargain-
ing agreements",2,0,5,0,7
Total,605,168,165,6,944
