"Liability for remaining
coverage",Column,"Liability for incurred
claims",Column,Column
"Excluding
loss com-
ponent","Loss com-
ponent","PV of future
cash flows","Risk adjust-
ment for
non-finan-
cial risk",Total
Kes 000,Kes 000,Kes 000,Kes 000,Kes 000
-,-,-,,-
"332,904",-,-,"841,338","1,174,242"
"(332,904)",-,-,"(841,338)","(1,174,242)"
-,-,-,,-
-,-,-,,-
"1,706,398",-,-,,"1,706,398"
"1,706,398",-,-,,"1,706,398"
-,-,-,"(1,346,755)","(1,346,755)"
-,-,,"(226,486)","(226,486)"
-,-,"31,621",-,"31,621"
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,"31,621","(1,573,241)","(1,541,620)"
"1,706,398",-,"31,621","(1,573,241)","164,778"
-,-,-,-,-
-,-,-,-,-
"15,478",-,"11,361",,"26,839"
"15,478",-,"11,361",-,"26,839"
-,-,-,,-
-,-,-,,-
-,-,-,,-
"986,706",-,-,-,"986,706"
"(164,393)",-,-,-,"(164,393)"
-,-,-,"(1,081,776)","(1,081,776)"
"822,313",-,-,"(1,081,776)","(259,463)"
"2,211,285",-,"42,982","(3,496,355)","(1,242,088)"
-,-,-,,-
"2,211,285",-,"42,982","(3,496,355)","1,242,088"
"2,211,285",-,"42,982","(3,496,355)","(1,242,088)"
