Activity,Gri standard,Disclosure,Page no.,Report section
"GRI 2: General
Disclosures 2021",GRI 2-1,Organizational Details,,Group Information
,GRI 2-2,Entities included in sustainability report,,ESG Report 2024
,GRI 2-3,Report period and frequency,,ESG Report 2024
,GRI 2-6,"Activities, Value Chain and Other Business Rela-
tionships",,"ESG Report 2024
Products and Services
Stakeholders"
,GRI 2-7,Employees,,Human Capital
,GRI 2-8,Workers who are not Employees,,Human Capital
,GRI 2-9,Governance Structure and Composition,,"Corporate Governance Statement
Governance"
,GRI 2-10,"Nomination and Selection of the Highest Govern-
ance Body",,Corporate Governance Statement
,GRI 2-11,Chair of the Highest Governance Body,,Corporate Governance Statement
,GRI 2-12,"Role of the Highest Governance Body in Oversee-
ing the Management of Impacts",,Governance
,GRI 2-13,"Delegation of Responsibility for Managing
Impacts",,Governance
,GRI 2-14,"Role of the Highest Governance Body in Sustaina-
bility Reporting",,Governance
,GRI 2-15,Conflicts of interest,,"Corporate Governance Statement
Governance"
,GRI 2-16,Communication of Critical Concerns,,Governance
,GRI 2-17,"Collective Knowledge of the Highest Governance
Body",,Governance
,GRI 2-18,"Evaluation of the Performance of the Highest
Governance Body",,Corporate Governance Statement
,GRI 2-19,Remuneration Policies,,Directors Remuneration Policy
,GRI 2-20,Process to Determine Remuneration,,Directors Remuneration Policy
,GRI 2-23,Policy Commitments,,Governance
,GRI 2-24,Embedding Policy Commitments,,Governance
,GRI 2-26,"Mechanisms for Seeking Advice and raising
concerns.",,Governance
,GRI 2-27,Compliance with laws and regulations,,Regulatory Compliance
,GRI 2-28,Membership Associations,,ESG Report 2024
,GRI 2-29,Approach to Stakeholder Engagement,,Stakeholders
,GRI 2-30,Collective Bargaining Agreements,,Human Capital
"GRI 3: Material Topics
2021",GRI 3-1,Process to determine material topics,,Materiality Assessment
,GRI 3-2,List of Material Topics,,Materiality Assessment
,GRI 3-3,Management of material topics,,Materiality Assessment
"GRI 204: Procurement
Practices 2016",GRI 204 -1,Proportion of spending on local suppliers,,Suppliers
"GRI 205:
Anti-Corruption 2016",GRI 205-2,"Communication and Training about Anti-Corrup-
tion policies and procedures",,Code of Conduct
GRI 305 : Emissions 2016,GRI 305-1,Direct (Scope 1) GHG Emissions,,Carbon Emissions
,GRI 305-2,Energy Indirect (Scope 2) GHG Emissions,,
,GRI 305-3,Other Indirect (Scope 3) GHG Emissions,,
,GRI 305-5,Reduction of GHG emissions,,
GRI 306: Waste 2020,GRI 306-3,Waste generated,,Waste Management
,GRI 306-4,Waste diverted from disposal,,
"GRI 401: Employment
2016",GRI 401-1,New Employees and Employee turnover,,Human Capital
,GRI 401-2,"Benefits provided to full time employees that are
not provided to temporary or part time staff",,
,GRI 401-3,Parental Leave,,
"GRI 403: Occupational
Health and Safety 2018",GRI 403-1,"Occupational Health and safety management
system",,Occupational Health and Safety
,GRI 403-2,"Hazard identification, risk assessment and incident
investigation",,
,GRI 403-5,Worker training on occupational health and safety,,
,GRI 403-6,Promotion of worker health,,
,GRI 403-9,Work-related injuries,,
