Name,March,April,June,August,November
Nizar Juma,√,√,√,√,√
Zul Abdul,√,√,√,√,√
SultanAllana,√,√,,,√
John Metcalf,√,√,,√,√
Shabir Abji,√,√,√,√,√
Jane Mwangi,√,√,√,√,√
Ashif Kassam,√,√,√,,√
Owen Koimburi,√,√,√,√,√
Akbar Poonawala,√,√,√,√,√
