Directors Fees,Sitting Allowance,Bonuses,"Expense
allowances",Total
Kes.,Kes.,Kes.,Kes.,Kes.
-,-,-,-,-
-,-,-,-,-
"765,000","140,000",-,-,"905,000"
-,-,-,-,-
"765,000","100,000",-,-,"865,000"
"510,000","100,000",-,-,"610,000"
"1,020,000","140,000",-,-,"1,160,000"
-,-,-,-,-
"3,060,000","480,000",-,-,"3,540,000"
