"6,670,773","4,995,890","830,429","898,240","118,321",-,"13,513,653"
"(4,252,529)","(3,924,402)","(601,326)","(725,502)","(84,681)",-,"(9,588,440)"
"2,418,244","1,071,488","229,103","172,738","33,640",-,"3,925,213"
"975,630","395,786","45,821","51,822","6,728",-,"1,475,787"
"1,766,190","1,762,801","522,399","142,892",-,-,"4,194,282"
"744,419","203,950","22,763","41,892","8,590",-,"1,021,614"
"(210,961)","(42,920)",138,"(8,053)","(3,378)",-,"(265,174)"
"533,458","161,030","22,901","33,839","5,212",-,"756,440"
"260,547","99,936","4,553","12,568","1,718",-,"379,322"
"(73,836)","(21,031)",28,"(2,416)",(676),"(88,770)","(186,701)"
"186,711","78,905","4,581","10,152","1,042","(88,770)","192,621"
"309,951","178,455","20,967","20,872","(2,576)",-,"527,669"
"(221,384)","(148,881)",(250),"19,616","3,032",-,"(347,867)"
"(71,927)","(35,248)",-,-,-,-,"(107,175)"
"16,640","(5,674)","20,717","40,488",456,-,"72,627"
