"FV Through
P/L","FV Through
OCI",Total
2021,2021,2021
Kes’000,Kes’000,Kes’000
"6,258,253","455,375","6,713,628"
"(54,585)",-,"(54,585)"
"259,603","4,843","264,446"
"15,434","23,723","39,157"
"6,478,705","483,941","6,962,646"
