Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
"565,985",-,"(72,325)","85,305",-,"578,965"
"510,168",-,-,"288,282",-,"798,450"
"1,076,153",-,"(72,325)","373,587",-,"1,377,415"
