"KShs 0 m -
KShs 15m","KShs 15m -
KShs 250m","KShs 250m -
KShs 1000m","KShs
1000m +",Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"71,696,952","11,605,039","1,369,349","872,082","85,543,422"
"42,465,336","10,937,456","878,000","5,809","54,286,601"
"22,896,028","103,979,788","99,350,968","486,541,293","712,768,077"
"13,017,000","86,460,079","34,936,155","23,240,354","157,653,588"
"3,043,729","33,603,792","9,161,000","2,361,717","48,170,238"
"2,331,968","28,836,545","8,912,540","1,050,617","41,131,670"
"29,515,769","148,500,123","54,967,937","98,257,015","331,240,844"
"19,700,965","82,643,464","51,250,385","67,948,000","221,542,814"
"53,148,699","122,547,452","80,708,163","534,012,426","790,416,740"
"21,442,771","82,075,989","46,609,253","190,155,167","340,283,180"
"28,986,090","3,564,142","38,747",-,"32,588,979"
"26,581,430","2,952,434",-,-,"29,533,864"
"1,105,642,601","648,891,719","51,397,414","10,960,710","1,816,892,444"
"652,297,190","226,352,786","22,050,868","6,777,373","907,478,217"
"3,813,877","1,361,790",-,-,"5,175,667"
"3,813,877","1,516,377",-,-,"5,330,254"
"1,318,743,745","1,074,053,845","296,993,578","1,133,005,243","3,822,796,411"
"781,650,537","521,775,130","164,637,201","289,177,320","1,757,240,188"
