"Estimates of
present val-
ue of future
cash flows","Risk
adjustment
for non-fi-
nancial risk",CSM,Column,Total
,,"Contracts un-
der modified
retrospective
approach","Contracts un-
der fair value
approach",
Kes 000,Kes 000,Kes 000,Kes 000,Kes 000
-,-,-,-,-
"447,464","37,768","201,421","1,338","687,991"
"(447,464)","(37,768)","(201,421)","(1,338)","(687,991)"
-,-,-,-,-
-,-,"14,293",,"14,293"
-,"128,171",-,-,"128,171"
"(180,784)",,-,-,"(180,784)"
"(158,874)","128,171","14,293",-,"(38,320)"
"130,844","31,568","143,564","39,177","345,153"
"(93,357)","(18,605)","94,264","17,698",-
"(340,090)",-,-,-,"(340,090)"
"(302,603)","12,963","237,828","56,875","5,063"
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
"(461,477)","141,134","252,121","56,875","(33,257)"
"(78,148)",,,,"(78,148)"
-,-,-,-,-
"(138,163)",,,,"(138,163)"
"(216,311)",-,-,-,"(216,311)"
-,-,-,-,-
-,-,-,-,
"807,725",-,-,-,"807,725"
"(50,684)",-,-,-,"(50,684)"
"1,396,634",-,-,-,"1,396,634"
"2,153,675",,,,"2,153,675"
"1,028,423","103,366","50,700","55,537","1,216,116"
-,-,-,-,-
"(1,028,423)","(103,366)","(50,700)","(55,537)","(1,216,116)"
"(1,028,423)","(103,366)","(50,700)","(55,537)","(1,216,116)"
