Kenya,Uganda,Tanzania,Mauritius,Burundi,Total
"24,041,525","2,625,876","3,198,847","917,095","369,049","31,152,392"
"5,171","921,635",3,-,-,"926,809"
"504,773","484,762",-,-,-,"989,535"
"2,177,191","2,272,802","395,680","27,616","133,933","5,007,222"
"104,479,802","17,890,241","6,320,713",-,"1,386,182","130,076,938"
"83,991,881","10,650,863","3,969,377",-,"943,187","99,555,308"
