Up to 1,1 to 3,3 to 12,Over 1,Column
month,months,months,year,Total
Kes ‘000,Kes ‘000,Kes ‘000,Kes ‘000,Kes ‘000
"128,385",-,-,-,"128,385"
-,"1,604,312",-,-,"1,604,312"
-,"1,036,615",-,-,"1,036,615"
-,"211,852",-,-,"211,852"
"128,385","2,852,779",-,-,"2,981,164"
580,-,-,-,580
"444,003","1,345,722",-,-,"1,789,725"
"444,583","1,345,722",-,-,"1,790,305"
"(316,198)","1,507,057",-,-,"1,190,859"
