"Up to 1
month","1 to 3
months","3 to 12
months","Over 1
year",Total
Kes '000,Kes '000,Kes '000,Kes '000,Kes '000
-,-,"25,625","79,540","105,165"
"19,502","37,206","219,744","1,342,968","1,619,420"
"237,782","6,166,445","11,723,674","94,060,542","112,188,443"
-,-,-,"3,738,138","3,738,138"
"697,415","2,633,927",-,-,"3,331,342"
"950,622","713,746","658,418","419,733","2,742,519"
"792,054","4,387,545","1,136,222",-,"6,315,821"
"2,697,375","13,938,869","13,763,683","99,640,921","130,040,848"
"17,467","85,195","62,087","254,618","419,367"
"309,980","1,031,178","7,758,595","23,473,969","32,573,722"
"12,164,984","20,053,944","21,718,898","23,338,539","77,276,365"
"128,369","88,579","79,412","43,841","340,201"
"123,355","100,464","77,307","14,267","315,393"
-,"1,176,767","2,745,789",-,"3,922,556"
"109,624","219,249","438,496","548,121","1,315,490"
"12,853,779","22,755,376","32,880,584","47,673,355","116,163,094"
"-10,156,404","-8,816,507","-19,116,901","51,967,566","13,877,754"
