2021,"2020
Kes ‘000
243,397
234,026
58,103
514,777
1,487,787",2021
Kes ‘000,,Kes ‘000
"252,509",,-
"436,082",,-
"28,402",,-
"323,781",,-
"2,101,662",,"1,604,312"
"3,142,436","2,538,090
(1,065,907)
1,472,183","1,604,312"
-,,
"3,142,436",,
