Financial Asset,Impairment approach
Loans receivable,General Approach
Receivables arising out of direct insurance arrangements,Simplified Approach
Lease and other receivables,Simplified Approach
Government securities at amortised cost,General Approach
Corporate bonds and commercial paper,General Approach
Deposits with financial institutions,General approach
Cash and bank balances,General Approach
