"627,860","9,525,715","14,608,575","3,515,507","9,995,826","2,582,124","307,883","41,163,490"
"395,786","508,184","223,577","6,400,783","18,923","4,653,510","5,361,216","17,561,979"
-,"(582,817)",-,"(674,782)",-,-,-,"(1,257,599)"
"(395,804)","(1,361,465)","67,038","(947,808)","(185,517)","5,717,383","4,524,550","7,418,377"
"627,842","8,089,617","14,899,190","8,293,700","9,829,232","12,953,017","10,193,649","64,886,247"
"140,616","729,881","3,900,009","11,776,362","164,476","3,489,033","842,043","21,042,420"
"140,220","194,657","3,624,285","1,922,155","147,208","(688,952)","618,437","5,958,010"
-,"119,687",-,"197,932",-,-,,"317,619"
"299,073","292,486","(148,967)","2,145,965","(5,951)","(1,387)","(26,854)","2,554,365"
"847,144","249,835","1,890,730","1,049,150","21,294","796,299","(612,318)","4,242,134"
"(988,592)","(289,915)","(1,597,267)","(1,158,946)","(20,072)",-,"(25,405)","(4,080,197)"
"157,625","252,406","144,496","2,036,169","(4,729)","794,912","(664,577)","2,716,302"
