35%,49%,20%,30%,20%,Column,Column
"6,232,985","4,875,389","776,996","904,676","127,317",-,"12,917,363"
"(4,202,690)","(3,887,701)","(570,793)","(765,777)","(98,889)",-,"(9,525,850)"
"2,030,295","987,688","206,203","138,899","28,428",-,"3,391,513"
"826,761","367,809","41,241","41,670","5,686",,"1,283,166"
"1,548,292","1,653,919","560,048","111,107",-,-,"3,873,366"
"581,988","189,202","27,568","12,686","6,560",-,"818,004"
"(129,483)","(103,391)",548,"15,077","3,815",-,"(213,434)"
"452,505","85,811","28,116","27,763","10,375",-,"604,570"
"203,696","92,709","5,514","3,806","1,312",-,"307,037"
"(45,319)","(50,662)",110,"4,523",763,"26,300","(64,285)"
"158,377","42,047","5,624","8,329","2,075","26,300","242,752"
"261,112","132,644","(7,249)","(2,359)",(287),-,"383,861"
"(229,533)","(268,768)","4,394","(9,427)","2,387",-,"(500,947)"
"(44,277)",-,"13,033","11,868",-,-,"(19,376)"
"(12,698)","(136,124)","10,178",82,"2,100",-,"(136,462)"
