STAKEHOLDER,THEIR CONCERNS,ENGAGMENT MODE,WHY WE ENGAGE
,"• Trust, Accountability and Financial
protection when an insured risk
materialises.
• To get the returns promised on
investments
• Exceptional client experience.
• Unique and exceptional value add
propositions.
• Transparency and authenticity","• Customer surveys
• Interaction with our
intermediaries
• Visits to Customer
• 24/7 Call Centre
• Customer Service Centre
• SMS and Direct phone
calls and email
• Customer events
• Health and Financial
Wellness programs and
webinars.",
,"• To work for a reputable trustworthy
employer.
• Job security with fair and competitive
remuneration.
• Clarity on business objectives
• Concerns to be addressed.
• Human rights are upheld
• Career growth and personal devel-
opment
• Mental and physical wellbeing
support","• Regular townhalls
• Employee surveys
• Focus Discussion Groups
• Annual Medical camps
• Employee bonding
events
• Social Clubs and events.
• Digital and intranet
communication
• Newsletters",
,"• Timely Commission payment
• Reward and Recognition.
• Soft and technical skills training.
• Digital access to data for sales sup-
port and tracking purposes.
• Prompt addressing of concerns and
queries.
• Growth and career progression.
• Customer service for client retention.","• Agent Town Halls
• Physical and Virtual
meetings
• Client meetings
• Training forums",
,"• Financial Stability
• Building support services","• At onboarding.
• Service issues.
• Lease renewal.",
,"• Strong returns on investment and
value appreciation.
• Robust Corporate Governance
• Brand Reputation
• Updates Transparent reporting and
accountability","• During AGMs
• Annual Reports
• Results announcements
• Emails/phone calls",
,"• Sustainable business growth, Fair
compensation and prompt payments
for goods and services rendered
• Understand our requirements and
expectations
• Queries answered","• Telephone/Email com-
munication
• Physical meetings
• Webinars",
