Standard,Amendments
"IFRS 5 Non-current Assets Held for Sale
and Discontinued Operations","Changes in methods of disposal.
Adds specific guidance in IFRS 5 for cases in which an entity reclassifies an asset from held for sale to
held for distribution or vice versa and cases in which held-for-distribution accounting is discontinued."
"IFRS 7 Financial Instruments: Disclosures
(with consequential amendments to
IFRS 1)","Servicing contracts.
Adds additional guidance to clarify whether a servicing contract is continuing involvement in a
transferred asset for the purpose of determining the disclosures required.
Applicability of the amendments to IFRS 7 to condensed interim financial
statements.
Clarifies the applicability of the amendments to IFRS 7 on offsetting disclosures to condensed interim
financial statements."
IAS 19 Employee Benefits,"Discount rate: regional market issue.
Clarifies that the high quality corporate bonds used in estimating the discount rate for post-
employment benefits should be denominated in the same currency as the benefits to be paid (thus, the
depth of the market for high quality corporate bonds should be assessed at currency level)."
IAS 34 Interim Financial Reporting,"Disclosure of information ‘elsewhere in the interim financial report’.
Clarifies the meaning of ‘elsewhere in the interim report’ and requires a cross-reference"
