"Ordinary
Life",Annuity,Total
2022,2022,2022
Kes ‘000,Kes ‘000,Kes ‘000
"1,021,683","(22,863)","998,820"
"(596,686)","(482,993)","(1,079,679)"
"99,133","(63,035)","36,098"
"(14,637)","(7,080)","(21,717)"
"100,375","1,254,127","1,354,502"
"(372,634)","(14,456)","(387,090)"
"237,235","663,700","900,935"
