"FV Through
P/L","FV Through
OCI",Total
2020,2020,2020
Kes’000,Kes’000,Kes’000
"6,237,885","196,782","6,434,667"
"(224,078)","199,709","(24,369)"
"222,854","18,226","241,080"
"21,592","40,658","62,250"
"6,258,253","455,375","6,713,628"
