Name,March,April,June,August,November
Nizar Juma,√,√,√,√,√
Zul Abdul,√,√,√,A,A
Sultan Allana,A,A,A,√,A
Lutaf Kassam,√,A,A,√,√
Juma Kisaame,√,A,√,√,√
John Metcalf,√,√,√,√,√
Shabir Abji,A,A,√,A,√
Jane Mwangi,√,√,√,√,√
