Column,Jun-18,Jun-17
Net profit attributable to Shareholder (KShs'000),"1,694,455","1,716,095"
Number of ordinary shares in issue,"72,472,950","72,472,950"
Earnings per share (KShs)-Basic and diluted,23.38,23.68
