"Directors
Fees","Sitting
Allowance",Bonuses,"Expense
allowances",Total
Kes.,Kes.,Kes.,Kes.,Kes.
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
"585,000","140,000",-,-,"725,000"
-,-,-,-,-
"585,000","60,000",-,-,"645,000"
"405,000","140,000",-,-,"545,000"
"720,000","180,000",-,-,"900,000"
-,-,-,-,-
"2,295,000","520,000",-,-,"2,815,000"
