Column,Group,Column,Company,Column,Column
,2024,2023,,2024,2023
,KShs '000,KShs '000,,KShs '000,KShs '000
At start of year,"392,273","370,436",,"(40,325)","(26,180)"
Recognised in profit or loss,"364,503","15,204",,"1,347",(360)
,"(505,343)","554,676",,-,-
Recognised in OCI,"51,506","6,633",,"66,034","(13,785)"
At end of year,"808,282","392,273",,"27,056","(40,325)"
Deferred tax (asset),"(835,942)","(898,838)",,-,"(40,325)"
Deferred tax liability,"1,644,224","1,291,111",,"27,056",-
Net deferred income tax liability/(asset),"808,282","392,273",,"27,056","(40,325)"
