Column,2010,2009
Profit analysis,Shs’000,Shs’000
Group profit before income tax,"2,053,287","1,115,776"
Income tax expense,"214,163","202,103"
Group profit after income tax,"1,839,124","913,673"
Non controlling interest,"83,363","88,691"
"Profit attributable to equityholders of
the company","1,755,761","824,982"
