Gross,"36,671,511","11,945,102","5,428,610",-,"54,045,223"
Net,"23,646,867","11,362,254","5,428,610",-,"40,437,731"
Gross,"86,800,974","180,120,279","147,238,617","248,584,474","662,744,344"
Net,"11,292,763","50,610,731","12,627,021","4,450,150","78,980,665"
Gross,"89,540,782","28,383,003","50,907,205","19,230,712","188,061,702"
Net,"52,704,757","6,442,915","16,920,302","120,000","76,187,974"
Gross,"97,163,138","161,447,117","61,507,006","330,116,889","650,234,150"
Net,"31,102,263","40,969,940","4,113,801","2,855,461","79,041,465"
Gross,"13,586,683","331,400",-,-,"13,918,083"
Net,"12,132,663","12,000",-,-,"12,144,663"
Gross,"274,696,592","53,516,385",-,-,"328,212,977"
Net,"149,143,350","12,923,864",-,-,"162,067,214"
Gross,"598,459,680","435,743,286","265,081,438","597,932,075","1,897,216,479"
Net,"280,022,663","122,321,704","39,089,734","7,425,611","448,859,712"
