"Liability for remaining
coverage",Column,Column,Column
"Excluding
loss compo-
nent","Loss com-
ponent","Liability for
incurred
claims",Total
Kes 000,Kes 000,Kes 000,Kes 000
-,-,-,-
"580,108","70,646","37,237","687,991"
"(580,108)","(70,646)","(37,237)","(687,991)"
"(128,750)",-,-,"(128,750)"
"(69,423)",-,-,"(69,423)"
"(313,263)",-,-,"(313,263)"
"511,436",-,-,"511,436"
-,,"(405,378)","(405,378)"
-,-,-,-
-,"(112,095)",-,"(112,095)"
-,-,-,-
"(27,220)",-,-,"(27,220)"
-,-,-,-
"(27,220)","(112,095)","(405,378)","(544,693)"
"484,216","(112,095)","(405,378)","(33,257)"
"78,148",-,-,"78,148"
-,-,-,-
"46,180","13,723","6,673","66,576"
"124,328","13,723","6,673","144,724"
-,-,-,-
-,-,-,-
-,-,-,-
"807,725",-,-,"807,725"
"(50,684)",-,-,"(50,684)"
-,-,"(1,396,634)","(1,396,634)"
"757,041",-,"(315,227)","(639,593)"
"785,477","(169,018)","(751,169)","(1,216,117)"
-,-,-,-
"785,477","(169,018)","(751,169)","(1,216,117)"
"(298,142)","(258,014)","(659,961)","(1,216,117)"
