Column,"Country of
Incorporation",Assets,Liabilities,Revenues,Profit/(loss),Interest Held
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Year 2010,,,,,,
FCL Holding Ltd,Kenya,"3,108,600","817,437","4,144,164","452,227",15%
IPS Cable Systems Ltd,Mauiritius,"7,075,025","5,377,251","618,639","355,819",33%
Total,,"10,183,625","6,194,688","4,762,803","808,046",
,"Country of
Incorporation",Assets,Liabilities,Revenues,Profit/(loss),Interest Held
Year 2009,,,,,,
FCL Holding Ltd,Kenya,"1,759,137","517,251","3,453,373","346,716",15%
IPS Cable Systems Ltd,Mauiritius,"4,297,439","2,997,731","386,766","126,708",33%
Total,,"6,056,576","3,514,982","3,840,139","473,424",
