Gross,"39,333,012","23,728,768",-,-,"63,061,780"
Net,"26,288,390","23,060,874",-,-,"49,349,264"
Gross,"89,513,866","185,746,321","149,129,070","237,946,361","662,335,618"
Net,"3,680,223","17,296,233","17,877,697","41,044,987","79,899,140"
Gross,"92,008,305","106,359,598","83,839,980","55,747,231","337,955,114"
Net,"24,700,895","47,885,174","34,986,969","29,962,292","137,535,330"
Gross,"117,421,729","137,164,098","71,822,826","351,074,454","677,483,107"
Net,"27,455,376","40,088,735","31,323,723","177,825,652","276,693,486"
Gross,"10,698,147","283,430",-,-,"10,981,577"
Net,"9,306,725","15,785",-,-,"9,322,510"
Gross,"127,712,084","11,918,335",-,-,"139,630,419"
Net,"49,486,197","663,750",-,-,"50,149,947"
Gross,"476,687,143","465,200,550","304,791,876","644,768,046","1,891,447,615"
Net,"140,917,806","129,010,551","84,188,389","248,832,931","602,949,677"
