"15,289,281 2,798,665 - 18,087,946
6,912,803 401,758 - 7,314,561
8,376,478 2,396,907 - 10,773,385
1,010,238 2,578,694 108,100 3,697,032
160,754 1,727,123 - 1,887,877
1,673,357 10,988 1,684,345
11,220,827 6,713,712 108,100 18,042,639
11,163,404 5,472,641 - 16,636,045
5,462,632 187,859 - 5,650,491
5,700,772 5,284,782 - 10,985,554
1,661,961 675,197 146,470 2,483,628
1,780,309 564,844 - 2,345,153
3,442,270 1,240,041 146,470 4,828,781
2,077,785 188,889 (38,370) 2,228,304
- - (47,629) (47,629)
122,414 121,207 726,892 970,513
2,200,199 310,096 640,893 3,151,188
526,575 93,028 28,768 648,371
1,673,624 217,068 612,125 2,502,817"
"13,144,648 2,254,866 - 15,399,514
5,665,160 361,372 6,026,532
7,479,488 1,893,494 - 9,372,982
782,657 2,101,475 272,849 3,156,981
(13,300) 456,847 - 443,547
1,333,864 1,750 17,234 1,352,848
9,582,709 4,453,566 290,083 14,326,358
8,564,413 3,633,790 - 12,198,203
3,426,962 215,704 - 3,642,666
5,137,451 3,418,086 - 8,555,537
1,495,940 571,440 136,498 2,203,878
1,567,999 452,858 - 2,020,857
3,063,939 1,024,298 136,498 4,224,735
1,381,319 11,182 153,585 1,546,086
- - (47,937) (47,937)
157,921 163,394 873,839 1,195,154
1,539,240 174,576 979,487 2,693,303
317,551 49,049 42,202 408,802
1,221,689 125,527 937,285 2,284,501"
