Column,IFRS 17 options,Adopted approach
"surance acquisition cash
ows","Provided that the coverage period of each
contract in the group at initial recognition is no
more than one year, IFRS 17 allows an accounting
policy choice of either expensing the insurance
acquisition cash flows when incurred or amortizing
them over the contract’s coverage period.","The Company expenses its insurance acquisition
cash flows for its Group Life insurance product line
immediately upon payment.
The Company capitalizes insurance acquisition
cash flows for all other product lines. The Company
allocates the acquisition cash flows to groups of
insurance contracts issued or expected to be issued
using a systematic and rational basis."
"ability for remaining
overage (“LRC”) adjusted for
nancial risk and time value
money","Where there is no significant financing component
in relation to the LRC, or where the time between
providing each part of the services and the related
premium due date is no more than a year, an
entity is not required to make an adjustment for
accretion of interest on the LRC.","The Company does not adjust the LRC for insurance
contracts issued and the remaining coverage for
reinsurance contracts held for the effect of the time
value of money, because insurance premiums are
due within the coverage period of contracts, which
is one year or less."
"ability for Incurred Claims
LIC”) adjusted for time value
money","Where claims are expected to be paid within a
year of the date that the claim is incurred, it is not
required to adjust these amounts for the time value
of money.","For claims within Group Life, the incurred claims
are expected to be paid out in less than one year.
Hence, no adjustment is made for the time value of
money. For all other business, the LIC is adjusted for
the time value of money since these typically have a
settlement period of over one year."
"surance finance income and
xpenses","IFRS 17 provides an accounting policy choice to
recognise the impact of changes in discount rates
and other financial variables in profit or loss or in
OCI. The accounting policy choice (the PL or OCI
option) is applied on a portfolio basis.","The Company will include all insurance finance
income or expenses for the period in profit or loss."
"isaggregation of risk
djustment","An insurer is not required to include the entire
change in the risk adjustment for non- financial
risk in the insurance service result. Instead, it can
choose to split the amount between the insurance
service result and insurance finance income or
expenses.","The Company will disaggregate the change in the
risk adjustment for non-financial risk between a
financial and non-financial portion which will be
presented in insurance finance income or expenses
and in insurance service result respectively."
