"Financial statement
area",Impact
Revenue,"The revenue of the Group and Company may decline for the first few months. However, the reduction will not
result in a change in revenue recognition, neither will it result in loss-making revenue contracts."
"Financial risk (credit,
liquidity, market)","There was adverse effect of the Group’s and Company’s financial instruments affecting the financial
performance and position as at 31 December 2019:
(i) Credit risk - there has been no increased significant credit risk on the financial instruments held as at 31
December 2019 to require for additional impairment.
(ii) Liquidity risk - the Company still has the capability to meet its current and future obligations. As at the
date of this report, there had been no default to the policyholders, suppliers and other stakeholders
(iii) Market risk - due to poor performance of listed companies at the Nairobi Stock Exchange, the quoted
equity has incurred fair value losses. However, there is no impairment as the fair value is still above cost.
There has been no adverse effect on government securities at fair value."
Employee structures,"There has been no change in the employee structure of the Company in the form of additional benefits paid
to employees or downsizing."
Laws and regulations,"(i) As part of the fiscal and monetary measures introduced by the Government including:
(ii) Lowering of PAYE on employee benefits from 30% to 25%
(iii) Lowering of VAT from 16% to 14%
(iv) Raising of exempt income to KES 24,000 per month
(v) Lowering of corporate income tax from 30% to 25%
The effective date of these taxes is from 1 April 2020 and therefore no impact on the financial performance
and position of the Company as at 31 December 2019."
