2012,2011
Kshs '000,Kshs '000
"148,527","127,494"
"131,241","110,410"
"40,296","10,829"
"11,803","13,872"
"102,011","77,694"
"433,878","340,299"
"85,361","135,037"
"104,029","90,158"
"59,978","21,894"
"13,399","5,183"
"145,480","83,379"
"408,247","335,651"
"1,938","4,897"
"1,749",827
-,542
"2,898","5,089"
"6,585","11,355"
"5,546","30,435"
"10,323","2,070"
"1,079",412
(75),20
"9,582","6,029"
"26,455","38,966"
"11,035","18,032"
"23,832","19,786"
"44,082","107,332"
430,168
"26,427","57,157"
"105,806","202,475"
"2,486,530","1,684,534"
"2,486,530","1,684,534"
"153,453","101,354"
"153,453","101,354"
