Maximum insured loss,Column,Column,Column,Column
"Kes 0 m -
Kes 15m","Kes 15m -
Kes 250m","Kes 250m -
Kes 1000m",Kes 1000m +,Total
Kes’000,Kes’000,Kes’000,Kes’000,Kes’000
"87,858,239","22,854,745","8,272,576","10,530,753","129,516,313"
"58,322,079","21,808,141","7,400,029","9,146,164","96,676,413"
"27,724,647","142,752,799","120,718,636","1,519,620,566","1,810,816,648"
"17,705,303","120,745,296","48,784,519","111,340,618","298,575,736"
"3,402,129","19,591,122","9,697,750","240,408,024","273,099,025"
"2,650,286","13,990,601","7,163,911","28,504,116","52,308,914"
"13,767,674","127,625,491","16,607,131","130,763,607","288,763,903"
"8,594,000","66,367,501","24,578,367","18,296,832","117,836,700"
"15,019,124","82,154,501","64,221,674","595,061,186","756,456,485"
"13,542,740","59,205,006","41,187,459","91,314,207","205,249,412"
"30,652,066","2,917,934","39,061",-,"33,609,061"
"27,922,032","2,476,980",(429),-,"30,398,583"
"265,964,415","128,134,624","25,279,819","280,467,951","699,846,809"
"129,166,309","40,410,452","6,754,611","109,734,802","286,066,174"
"11,973,476","47,585,711","27,422,435","1,370,145,010","1,457,126,632"
"11,188,394","41,051,766","24,409,781","133,271,879","209,921,820"
"456,361,770","573,616,927","272,259,082","4,146,997,097","5,449,234,876"
"269,091,143","366,055,743","160,278,248","501,608,618","1,297,033,752"
