Kenya,Uganda,Tanzania,Mauritius,Burundi,Total
"23,673,921","4,601,911","3,270,219","872,646","402,715","32,821,412"
"41,709","237,419",-,-,"12,945","292,073"
"424,582","904,814",1,-,-,"1,329,397"
"2,598,377","1,775,386","475,544","53,906","173,682","5,076,895"
"111,345,234","25,625,375","6,203,148","1,308,180","1,381,646","145,863,583"
"93,040,713","10,902,140","4,536,128","984,717","864,504","110,328,202"
