2021,"2020
Kes '000
204,041
2,718,746
36,595
314,638
137,528
88,624",2021
Kes '000,,Kes '000
"113,400",,-
"1,508,670",,"1,329,820"
"38,688",,"8,843"
"883,285",,"7,059"
"576,467",,-
"120,854",,-
"3,241,364","3,500,172
(1,396,431)
2,103,741","1,345,722"
-,,-
"3,241,364",,"1,345,722"
