Column,Column,2023,2022
,Note,Kes '000,Kes '000
Profit for the year,,"4,415,913","5,508,882
393,865
(107,535)
73,112
126,066
1,049,107"
Other comprehensive income,,,
Items that will not be reclassified subsequently to profit,,,
Revaluation reserves on PPE,14 (ii),"176,253",
Deferred tax on other comprehensive income,18 (iii),"200,158",
Items that may be reclassified subsequently to profit or loss,,,
Fair value gain/loss on investments in equity instruments designated as at FVTOCI,14 (ii),"(154,144)",
Associate share of other comprehensive income,17 (i),"(435,342)",
Net translation gain,32 (c),"3,846,593",
"Total other comprehensive income, net of tax",,"3,633,518","1,534,615"
Total comprehensive income for the year,,"8,049,431","7,043,497"
Attributable to:,,,"6,880,307
163,190"
Equity holders of the Company,,"7,960,143",
Non-controlling interest,,"89,288",
Total comprehensive income for the year,,"8,049,431","7,043,497"
