Kenya,Uganda,Tanzania,Mauritius,Burundi,Total
"25,992,090","4,846,427","3,622,334","852,521","528,887","35,842,259"
"3,352,334","307,986",-,-,"26,082","3,686,402"
"483,488","1,394,715",-,-,-,"1,878,203"
"6,110,111","1,834,278","134,072","73,116","280,303","8,431,880"
"124,371,159","20,994,499","6,977,956","1,369,987","1,559,017","155,272,618"
"97,340,398","8,319,847","5,151,161","1,004,889","1,177,798","112,994,093"
