Short-term,Long-term,Investments,Total
"28,127,161","74,951,191","11,089,287","114,167,639"
"17,794,646","67,589,116","712,510","86,096,272"
"1,949,419","1,963,905","6,082,489","9,995,813"
"89,196","57,856",303,"147,354"
"64,324","39,563","2,161","106,047"
"36,233","26,026",-,"62,258"
