"1,482,715","6,355,774","8,894,240","5,692,714","8,461,750","30,887,193"
(331),"(809,347)","(5,039)","(1,471,182)","(2,709,345)","(4,995,244)"
"1,482,384","5,546,427","8,889,201","4,221,532","5,752,405","25,891,949"
"382,619","501,168","1,542,478","8,091,091","809,447","11,326,803"
"382,108","1,007,992","1,319,166","923,785","687,803","4,320,854"
-,"14,931",-,"1,181,342",-,
"712,426","256,013","(305,717)","845,536","(2,965)","1,505,293"
-,"(368,710)","4,087,288","(98,978)","659,427","4,279,027"
"(712,092)","(30,080)","(3,845,922)","(624,894)","(770,508)","(5,983,496)"
334,"(142,777)","64,351)","121,664","(114,046)","(199,176)"
