35%,49%,20%,30%,20%,Column,Column
"4,024,084","2,913,468","675,508","320,037","83,854",-,"8,016,951"
"2,963,579","2,290,931","706,682","289,868","77,564",-,"6,328,624"
"1,060,505","622,537","(31,174)","30,169","6,290",-,"1,688,327"
"370,939","305,043","(6,235)","9,051","1,258",-,"680,056"
"884,572","926,454","120,991","60,019",-,-,"1,992,036"
"329,839","95,528","2,754","18,002","4,820",-,"450,943"
"(56,438)","12,213",287,"(1,428)",(557),-,"(45,923)"
"273,401","107,741","3,041","16,574","4,263",-,"405,020"
"115,443","46,809",551,"5,401",964,,"169,168"
"(19,753)","5,984",57,(428),(111),"(32,796)","(47,047)"
"314,883","304,967","54,832","45,937","(1,695)",-,"718,924"
"(448,036)","(294,006)","(2,698)","3,051","8,969",-,"(732,720)"
"(46,632)","(24,172)",-,"11,944",-,-,"(58,860)"
"(179,785)","(13,211)","52,134","60,932","7,274",-,"(72,656)"
