2021
Kes '000
"17,736,622"
"6,916,284"
"1,105,587"
"423,152"
"43,234"
"722,382"
"6,962,646"
"40,799"
"1,409,992"
"5,067,350"
"92,316,666"
"877,934"
"1,237,084"
"1,677,406"
"538,273"
"3,142,436"
"479,236"
"1,712,789"
"5,956,995"
"4,566,014"
"2,339,737"
"155,272,618"
"415,785"
"65,885,461"
"1,099,680"
"30,356,772"
"4,466,164"
"444,003"
"162,709"
"300,836"
"259,303"
"3,241,364"
"1,836,937"
"4,525,079"
"112,994,093"
"362,365"
"4,970,816"
"33,181,864"
"942,148"
"39,457,193"
"2,821,332"
"42,278,525"
"155,272,618"
