Directors Fees,"Sitting
Allowance",Bonuses,"Expense
allowances",Total
KShs. 000,KShs. 000,KShs. 000,KShs. 000,KShs. 000
-,-,-,-,-
-,-,-,-,-
"540,000","120,000",-,-,"660,000"
"540,000","180,000",-,-,"720,000"
-,-,-,-,-
"540,000","100,000",-,-,"640,000"
"360,000","120,000",-,-,"480,000"
"180,000","40,000",-,-,"220,000"
"540,000","160,000",-,-,"700,000"
"2,700,000","720,000",-,-,"3,420,000"
