Up to 1,1 to 3,3 to 12,Over 1,Column
month,months,months,year,Total
Kes ‘000,Kes ‘000,Kes ‘000,Kes ‘000,Kes ‘000
"86,216",-,-,-,"86,216"
-,"823,065",-,-,"823,065"
-,"678,637",-,-,"678,637"
"86,216","1,501,702",-,-,"1,587,918"
"972,706",-,-,-,"972,706"
"498,380","25,346",-,-,"523,726"
"1,471,086","25,346",-,-,"1,496,432"
"(1,384,870)","1,476,356",-,-,"91,486"
