nancial Asset,Impairment approach
ans receivable,General Approach
ceivables arising out of direct insurance arrangements,Simplified Approach
ase and other receivables,Simplified Approach
overnment securities at amortised cost,General Approach
rporate bonds and commercial paper,General Approach
posits with financial institutions,General approach
sh and bank balances,General Approach
