"Computer
equipment",Motor vehicles,"Furniture, fixtures,
fittings & office
equipment",Total
KShs ‘000,KShs ‘000,KShs ‘000,KShs ‘000
"509,340","80,378","469,786","1,059,504"
"78,674","9,446","59,234","147,354"
-,(754),-,(754)
"(6,580)","(2,714)","(5,050)","(14,344)"
"581,434","86,356","523,970","1,191,760"
"419,538","51,902","306,877","778,317"
"51,357","9,497","45,193","106,047"
-,(603),-,(603)
"(4,842)","(2,416)","(2,764)","(10,022)"
"466,053","58,380","349,306","873,739"
"115,381","27,976","174,664","318,021"
