Column,Group,Column,Company
,2021,"2020
Shs m
119.9
450.9
150.6
54.4
(19.7)
(203.2)
42.0
(52.1)
-
12.5
41.7
(124.3)
(43.5)
(20.2)
135.3
201.1
(101.3)",2021
,Shs m,,Shs m
,730.7,,595.3
,401.0,,301.1
,143.8,,92.8
,80.9,,79.0
,(6.3),,(5.9)
,(241.7),,(203.9)
,44.6,,41.7
,(38.9),,-
,-,,(7.7)
,50.0,,50.0
,161.7,,116.3
,(24.2),,8.8
,(20.6),,(19.5)
,(31.0),,(37.2)
,(98.1),,(58.7)
,(181.8),,(4.7)
,707.9,,517.0
"Post-employment benefit – payments made (Note 27) (3.4) (46.0) (3.4) (46.0)
Post-employment benefit – funds received from scheme (Note 27) 36.5 - 36.5 -
Cash generated from operations 1,711.1 598.1 1,497.5 439.1
Nation Media Group PLC. 2021 Annual Report & Financial Statements 131",(3.4),"(46.0)
-",(3.4)
,36.5,,36.5
,"1,711.1",598.1,"1,497.5"
