Non-
Attributable to equity holders of the company controlling Total
interest equity
Share Other Retained Proposed
capital reserves earnings dividends
Shs m Shs m Shs m Shs m Shs m Shs m
"356.5 82.3 3,637.3 570.4 67.2 4,713.7"
"- - 1,536.0 - 2.4 1,538.4"
- (2.3) 2.3 - - -
- 0.7 (0.7) - - -
(1.6) 1.6 - - -
- (51.0) - - (7.7) (58.7)
- - 34.8 - - 34.8
- (51.0) 34.8 - (7.7) (23.9)
- (52.6) 36.4 - (7.7) (23.9)
"- (52.6) 1,572.4 - (5.3) 1,514.5"
35.7 - (35.7) - - -
0.6 - (0.6) - - -
36.3 - (36.3) - - -
- - - (570.4) - (570.4)
- - (235.7) - - (235.7)
- - (628.5) 628.5 - -
- (392.8) 392.8 - -
"36.3 - (1,293.3) 450.9 - (806.1)"
"392.8 29.7 3,916.4 1,021.3 61.9 5,422.1"
