Salary,Fees,Bonuses,"Expense
allowances","Long term/
terminal
benefits",Total
Shs m,Shs m,Shs m,Shs m,Shs m,Shs m
43.6,-,-,0.4,2.9,46.9
30.9,-,-,0.1,2.1,33.1
35.4,-,-,0.5,2.4,38.3
-,3.5,-,0.1,-,3.6
-,2.3,-,0.1,-,2.4
-,-,-,-,4.0,4.0
-,1.7,-,-,-,1.7
-,2.3,-,-,-,2.3
-,2.3,-,-,-,2.3
-,2.9,-,-,-,2.9
-,0.9,-,-,-,0.9
-,1.7,-,0.3,-,2.0
-,2.1,-,-,-,2.1
-,2.6,-,-,-,2.6
-,2.2,-,-,-,2.2
-,0.9,-,-,-,0.9
-,2.6,-,-,-,2.6
109.9,28.0,-,1.5,11.4,150.8
