Column,2017,"2016
Shs m
(10.5)
3,862.1
248.7
196.3",2017,Column
,Shs m,,Shs m,
,(113.7),,(93.8),
,"3,596.3",,"2,546.8",
,333.3,,311.5,
,206.1,,163.4,
"Depreciation of property, plant & equipment
Accelerated depreciation on broadcasting equipment",541.4,"523.9
69.1",431.5,"419.5
41.5"
,-,,-,
,541.4,593.0,431.5,
"Goodwill impairment
Amortisation of intangible assets",131.9,"29.0
37.4",-,"-
27.4"
,41.6,,33.6,
,173.5,"66.4
1.2
(15.0)
24.8
12.0",33.6,
,1.2,,0.8,
,25.2,,24.8,
,26.0,,12.5,
,15.3,,(2.4),
