Current,30 Days,60 Days,90 days,120+ days,Total
Shs m,Shs m,Shs m,Shs m,Shs m,Shs m
244.7,161.9,100.7,68.9,"2,909.8","3,486.0"
(26.9),(24.5),(16.9),(16.4),"(1,588.6)","(1,673.3)"
217.8,137.4,83.8,52.5,"1,321.2","1,812.7"
