Group,Column,Company
2020,"2019
Shs m
471.4
(134.9)
7,397.1",2020
Shs m,,Shs m
518.5,,518.5
(57.7),,96.9
"7,402.7",,"5,542.4"
"7,863.5","7,733.6
63.9","6,157.8"
69.5,,-
"7,933.0","7,797.5","6,157.8"
,"27.3
692.2
6.0",
29.1,,-
448.4,,357.8
-,,-
477.5,725.5,357.8
"8,410.5","8,523.0","6,515.6"
,"595.2
1,710.0
871.6
191.6
1,422.6
-
282.6
-
111.1",
599.0,,408.0
"1,372.2",,"1,054.2"
644.6,,503.2
292.9,,266.6
"1,485.4",,94.6
-,,702.8
366.9,,290.8
27.5,,27.5
74.7,,74.7
"4,863.2","5,184.7","3,422.4"
,"656.7
3,623.0
1,039.0
1,520.0
73.3",
521.4,,431.8
"3,504.5",,"2,799.5"
"1,344.2",,"1,063.2"
"1,530.0",,"1,338.3"
57.3,,26.9
"6,957.4","6,912.0","5,659.7"
,"2,906.0
537.9
129.8",
"2,720.6",,"1,933.7"
558.3,,536.5
131.2,,96.3
"3,410.1","3,573.7","2,566.5"
"3,547.3","3,338.3","3,093.2"
"8,410.5","8,523.0","6,515.6"
