"26.4
3,090.0",Column,"14.2
-"
"3,116.4",52.8,14.2
"4,093.7
1,947.0","-
-","-
-"
"6,040.7",-,-
"32.0
3,092.0","61.9
-","48.7
-"
"3,124.0",61.9,48.7
"3,960.3
1,739.8","-
-","-
-"
"5,700.1",-,-
"2,484.2",-,-
"2,484.2",-,-
"3,788.0
274.0
1,387.0","-
-
-","-
-
-"
"5,449.0",-,-
"2,492.0",-,-
"2,492.0",-,-
"3,809.6
329.9
1,262.5","-
-
-","-
-
-"
"5,402.0",-,-
