"300.8
(229.5)",Column,"328.0
(229.5)"
71.3,27.2,98.5
"71.3
27.5
(36.9)","27.2
-
-","98.5
27.5
(36.9)"
61.9,27.2,89.1
"328.3
(266.4)","27.2
-","355.5
(266.4)"
61.9,27.2,89.1
"61.9
43.1
(34.6)","27.2
-
-","89.1
43.1
(34.6)"
70.4,27.2,97.6
"371.5
(301.1)","27.2
-","398.7
(301.1)"
70.4,27.2,97.6
