471.4,119.2,"6,176.9","1,414.1","8,181.6",61.8,"8,243.4"
-,-,"2,464.4",-,"2,464.4",(3.9),"2,460.5"
-,(9.4),9.4,-,-,-,-
-,2.8,(2.8),-,-,-,-
-,(6.6),6.6,-,-,-,-
-,(49.3),-,-,(49.3),(4.0),(53.3)
-,-,3.0,-,3.0,-,3.0
-,(55.9),9.6,-,(46.3),(4.0),(50.3)
-,(55.9),"2,474.0",-,"2,418.1",(7.9),"2,410.2"
-,-,-,"(1,414.1)","(1,414.1)",-,"(1,414.1)"
-,-,(471.4),-,(471.4),-,(471.4)
-,-,"(1,414.1)","1,414.1",-,-,-
-,-,"(1,885.5)",-,"(1,885.5)",-,"(1,885.5)"
471.4,63.3,"6,765.4","1,414.1","8,714.2",53.9,"8,768.1"
