Group,Column,Company
2021,"2020
Shs m
6,812.8
(1,148.0)",2021
Shs m,,Shs m
"7,613.7",,"5,354.5"
"(1,212.0)",,(843.9)
"6,401.7","5,664.8
(279.0)
(3,824.6)
(143.2)
(1,511.4)","4,510.6"
(269.4),,(206.5)
"(4,024.7)",,"(2,754.1)"
(33.5),,(0.5)
"(1,579.4)",,"(1,116.4)"
494.7,"(93.4)
203.2
(42.0)
52.1",433.1
241.7,,203.9
(44.6),,(41.7)
38.9,,-
730.7,"119.9
(72.0)",595.3
(237.6),,(209.0)
493.1,"47.9
69.2
18.4",386.3
67.7,,-
23.9,,-
91.6,87.6,-
584.7,135.5,386.3
,"48.1
(0.2)",
491.8,,-
1.3,,-
493.1,47.9,-
,"129.9
5.6",
578.3,,-
6.4,,-
584.7,135.5,-
2.5,"0.2
0.2",-
2.5,,-
