Column,Total
,Equity
,Kshs m
,"4,713.7"
,"1,538.4"
- (2.3) 2.3 - -,-
- 0.7 (0.7) - -,-
,-
- (51.0) - - (7.7),(58.7)
- - 34.8 - -,34.8
,(23.9)
,(23.9)
,"1,514.5"
35.7 - (35.7) - -,-
0.6 - (0.6) - -,-
,-
,(570.4)
,(235.7)
,-
,-
,(806.1)
,"5,422.1"
