Group,Column,Company
2023,"2022
Shs m
7,298.3
(1,424.6)",2023
Shs m,,Shs m
"7,116.2",,"4,635.8"
"(1,723.3)",,"(1,126.6)"
"5,392.9","5,873.7
(265.8)
(3,808.9)
(24.3)
(1,592.7)","3,509.2"
(313.7),,(231.9)
"(3,993.3)",,"(2,595.9)"
(172.9),,(199.9)
"(1,925.5)",,"(1,331.8)"
"(1,012.5)","182.0
291.6
(38.9)
57.0",(850.3)
311.2,,248.9
(32.6),,(31.0)
302.1,,-
(431.8),"491.7
(173.2)",(632.4)
226.1,,204.9
(205.7),"318.5
46.2
12.2
93.7",(427.5)
261.0,,-
108.1,,-
-,,-
369.1,152.1,-
163.4,470.6,(427.5)
,"315.2
3.3",
(201.7),,-
(4.0),,-
(205.7),318.5,-
,"463.9
6.7",
144.6,,-
18.8,,-
163.4,470.6,-
(1.1),"1.7
1.7",-
(1.1),,-
